# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1143-tab.txt
# Complete Data
# File Created: 17-Apr-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Jun Tian
# Core/Site:      ODP1143
# Latitude:       9.21.43N	( 9.36194)
# Longitude:      113.17.07E	( 113.2853)
# Water Depth(m): 2772
#
# Publications:
#   Tian J., P.X. Wang, X.R. Chen, Q.Y. Li. 2002. Astronomically tuned Plio-Pleistocene
#     benthic d18O records from South China Sea and Atlantic-Pacific comparison. Earth
#     and Planetary Science Letters, 203, issues 3-4, pp.1015-1029
#------------------
#
# Description & Notes:
#   South China Sea Benthic Foraminiferal Stable Isotope Data.
#   Cibicidoides wuellerstorfi studied were larger than 150 microns.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP1143
depth	yrBP 	d13Cc.wuell	d18Oc.wuell	
4946	946800	-0.326	2.77	
4956	949400	-0.136	2.8	
4966	952000	-0.305	2.673	
4976	954600	-0.382	2.578	
4986	957200	-0.576	2.836	
4996	959853	-0.714	3.474	
5016	965159.2	-0.366	3.541	
5026	967812.3	-0.251	3.312	
5036	970327.1	-0.287	3.136	
5046	971597.3	-0.317	3.133	
5056	972867.6	-0.148	3.203	
5066	974137.9	-0.43	2.677	
5076	981042.5	0.036	3.425	
5086	996400	0.081	3.26	
5096	996983.3	-0.432	3.346	
5106	997566.7	-0.067	3.444	
5116	998150	-0.123	3.259	
5126	998733.3	-0.13	3.228	
5136	999316.7	-0.289	3.401	
5146	999900	-0.357	3.121	
5166	1005540	-0.243	3.577	
5176	1008360	-0.039	3.553	
5196	1014000	-0.105	3.256	
5206	1016683	0.132	3.305	
5216	1019366	-0.07	3.278	
5226	1022049	-0.108	2.975	
5236	1024733	-0.153	3.028	
5246	1027416	-0.333	3.179	
5256	1030100	-0.118	3.129	
5266	1032223	-0.22	3.571	
5276	1034347	-0.462	3.59	
5286	1036471	-0.326	3.646	
5296	1038595	-0.464	3.518	
5306	1040719	-0.604	3.465	
5316	1042842	-0.593	3.522	
5326	1044966	-0.51	3.488	
5336	1047090	-0.2	3.556	
5346	1049214	-0.299	3.421	
5356	1051338	-0.686	3.251	
5366	1053755	-0.029	3.53	
5376	1056466	-0.257	3.455	
5386	1059177	0.139	3.259	
5396	1061888	-0.341	3.188	
5406	1064600	-0.05	2.709	
5416	1067333	-0.122	2.658	
5426	1070066	-0.131	2.586	
5436	1072800	-0.281	2.665	
5456	1074433	0.171	3.211	
5476	1076066	-0.06	3.319	
5486	1076883	-0.114	3.362	
5496	1077700	-0.035	3.375	
5506	1082357	-0.275	3.402	
5516	1087014	-0.287	3.231	
5536	1095688	-0.188	3.7	
5546	1099066	-0.263	3.68	
5566	1105822	-0.061	3.328	
5576	1109200	-0.348	3.097	
5586	1113550	0.182	3.243	
5596	1117900	-0.122	3.08	
5606	1124000	-0.456	3.514	
5616	1126399	-0.476	3.417	
5636	1130827	-0.565	3.722	
5656	1134136	-0.554	3.655	
5666	1135790	-0.498	3.665	
5676	1137445	-0.431	3.697	
5686	1139100	-0.313	3.179	
5696	1140825	-0.277	3.413	
5716	1144275	-0.149	3.426	
5726	1146000	-0.29	3.181	
5736	1147588	-0.025	3.385	
5756	1150764	0.274	3.352	
5776	1153941	0.126	3.125	
5786	1155529	0.131	3.038	
5796	1157117	0.16	2.985	
5806	1158705	0.179	3.015	
5816	1161025	0.073	2.869	
5826	1164075	0.083	2.829	
5836	1167500	0.1	3.143	
5846	1171299	0.079	3.245	
5856	1175100	0.047	3.368	
5906	1184328	-0.111	3.032	
5936	1191266	-0.545	3.543	
5946	1197000	-0.385	3.687	
5956	1201000	-0.135	3.672	
5966	1205000	-0.395	3.692	
5986	1213000	-0.363	3.744	
5996	1213685	-0.416	3.658	
6006	1214371	-0.374	3.547	
6016	1215057	-0.561	3.476	
6026	1215742	-0.614	3.253	
6036	1216428	-0.121	3.206	
6056	1217800	-0.069	2.969	
6066	1219720	-0.32	2.746	
6086	1225133	0.026	2.861	
6096	1230200	-0.11	2.838	
6106	1232309	-0.096	2.653	
6116	1234418	-0.22	2.747	
6126	1236527	-0.203	2.606	
6156	1243937	-0.241	3.411	
6166	1248212	-0.524	3.678	
6176	1252487	-0.645	3.651	
6186	1256762	-0.651	3.534	
6196	1259950	-0.462	3.112	
6206	1261923	-0.381	3.667	
6216	1263769	-0.3	3.698	
6226	1265615	-0.419	3.494	
6236	1267461	-0.287	3.568	
6246	1269307	-0.49	3.6	
6256	1271153	-0.152	3.34	
6266	1273000	-0.271	3.286	
6276	1275014	-0.019	3.067	
6286	1277028	0.069	3.112	
6296	1279042	0.025	2.989	
6306	1281057	-0.096	2.985	
6316	1283071	-0.305	2.998	
6326	1285085	-0.077	2.357	
6336	1287100	-0.399	3.249	
6346	1290220	-0.491	3.523	
6356	1293340	-0.371	3.534	
6366	1296450	-0.631	2.947	
6376	1299181	-0.343	3.628	
6386	1301545	-0.548	3.346	
6396	1303909	-0.515	-999	
6406	1306272	-0.331	3.506	
6426	1311000	-0.166	2.723	
6436	1311500	-0.029	3.297	
6466	1313000	-0.01	2.98	
6496	1320899	-0.333	3.314	
6506	1323533	-0.263	3.462	
6516	1326166	-0.333	3.472	
6526	1328800	-0.47	3.498	
6536	1331150	-0.581	3.36	
6546	1333500	-0.39	3.566	
6556	1335850	-0.484	3.586	
6566	1338200	-0.447	3.634	
6576	1340550	-0.479	3.387	
6586	1342900	-0.635	3.495	
6596	1345100	0.126	3.324	
6606	1347299	-0.171	3.454	
6616	1349500	-0.091	2.819	
6626	1352066	-0.169	2.493	
6636	1354633	0.149	2.551	
6676	1361625	-0.149	3.351	
6686	1363100	-0.233	3.584	
6696	1364575	-0.487	3.504	
6706	1366049	-0.396	3.343	
6716	1367525	-0.414	3.839	
6726	1369000	-0.417	3.299	
6736	1371285	-0.356	3.56	
6746	1373571	-0.348	3.472	
6756	1375857	-0.302	3.346	
6766	1379166	-0.276	3.082	
6786	1387833	0.07	3.051	
6796	1391939	-0.279	2.916	
6806	1395819	0.105	2.884	
6826	1404089	-0.198	3.03	
6842	1407777	-0.189	2.888	
6852	1408000	-0.251	3.059	
6862	1409166	-0.502	3.395	
6872	1410333	-0.38	3.394	
6892	1412666	-0.521	3.724	
6912	1415000	-0.379	3.302	
6922	1418019	-0.321	3.333	
6932	1421039	-0.257	3.323	
6942	1424059	-0.231	3.182	
6952	1427079	-0.132	3.022	
6962	1430100	-0.042	2.82	
6972	1433659	0.004	2.933	
6982	1437219	0.136	2.867	
7012	1447900	-0.149	2.67	
7022	1449333	-0.063	2.698	
7042	1452200	-0.311	2.616	
7052	1453439	-0.74	3.072	
7072	1455920	-0.46	3.837	
7082	1457160	-0.513	3.804	
7092	1458399	-0.265	3.664	
7102	1459639	-0.337	3.808	
7122	1462120	-0.246	3.474	
7132	1463360	0.074	3.292	
7142	1464600	0.023	3.091	
7152	1468233	-0.339	3.147	
7162	1471866	0.176	2.829	
7172	1475500	0.281	3.028	
7182	1478200	0.216	3.161	
7192	1480899	0.062	2.717	
7202	1483599	0.112	3.129	
7212	1486300	0.154	3.003	
7222	1489650	0.175	2.822	
7232	1493000	-0.391	-999	
7242	1496666	-0.291	3.672	
7252	1500333	-0.039	3.9	
7262	1504000	-0.106	3.931	
7272	1508550	-0.19	3.797	
7282	1513100	0.012	3.893	
7292	1515549	0.144	3.834	
7302	1517999	0.297	3.809	
7312	1520450	-0.04	3.544	
7322	1522900	0.11	3.24	
7332	1524233	0.272	3.315	
7342	1525566	0.214	3.149	
7352	1526899	0.141	3.038	
7362	1528233	-0.298	3.402	
7372	1529566	-0.288	3.324	
7382	1530900	-0.281	3.963	
7392	1532233	-0.436	3.746	
7402	1533566	-0.372	3.925	
7412	1534900	-0.266	3.869	
7422	1536233	-0.281	3.984	
7432	1537566	-0.325	3.837	
7442	1538900	0.092	3.81	
7452	1540233	-0.319	3.58	
7462	1541566	0.327	3.532	
7472	1542900	-0.065	3.391	
7482	1544585	-0.105	3.331	
7492	1546271	-0.078	3.319	
7502	1547957	-0.133	3.372	
7512	1549642	0.071	3.582	
7522	1551328	0.007	3.48	
7532	1553014	0.155	3.221	
7542	1554700	0.098	2.913	
7552	1557466	0.133	3.132	
7562	1560233	-0.159	3.316	
7572	1563000	-0.193	3.123	
7582	1566750	-0.21	3.244	
7592	1570499	-0.142	3.777	
7602	1574249	-0.277	3.752	
7612	1578000	-0.209	3.689	
7624	1582500	-0.268	3.416	
7634	1584458	-0.219	3.49	
7644	1586416	-0.071	3.343	
7654	1588375	-0.112	3.303	
7664	1590333	-0.046	3.094	
7684	1594249	-0.228	3.474	
7694	1596208	-0.06	3.423	
7704	1598166	0.009	3.207	
7714	1600125	-0.005	3.013	
7724	1602083	0.063	2.899	
7734	1604041	0.112	2.914	
7744	1606000	0.309	2.71	
7754	1611550	0.04	3.184	
7764	1617100	-0.558	2.475	
